id,title,description,link,image_link,additional_image_link,availability,price,condition,brand,identifier_exists,google_product_category,size,color,gender,age_group,product_type
187289511,abx エービーエックス Tシャツ ワンポイントロゴ ブラック Mサイズ メンズ 古着 ストリート,"ご覧頂きありがとうございます。
即購入OK！全て早い者勝ちです！

古着島でしか買えない個性的、スペシャルなアイテムが多数出品してあります！




※色やデザイン等は画像をご覧ください。

□コンディションランク：

□コンディション詳細：

□平置きサイズ実寸(cm)
肩幅42.5
身幅52
着丈63.5
袖丈15

□商品概要・その他
abx エービーエックス Tシャツ 半袖 ワンポイントロゴ Mサイズ メンズ モード ストリート 春服 夏服 秋服 ブラック




【コンディションランクについて】
□各商品の説明に記載されたコンディションのランクに関しては下記をご覧下さい。 

N (新品または未使用に近い)...新品同様の状態。未使用またはごく少ない使用感があり、汚れやダメージがほぼない商品。
A (非常に良好な状態)...わずかな使用感はあるものの、目立つ汚れやダメージはなく、非常に良い状態を保っている商品。
B (良好な状態)...通常の使用感があるが、大きな汚れや目立つダメージはなく、全体的に良好な商品。
C (ややダメージあり)...使用感が明らかで、部分的に目立つ汚れや小さなダメージが見られる商品。
D (目立つダメージや汚れあり)...使用感が強く、目立つ汚れやダメージが見受けられる商品。ファッションアイテムとしての利用は可能。
E (ヴィンテージ感強め、ダメージ多数)...使用感が非常に強く、広範囲に渡る汚れやダメージがある商品。ただし、ヴィンテージならではの魅力があるアイテム。
※上記ランクは当店基準でのランク付けとなります。あくまでも参考としていただき、詳細は画像をご確認の上、ご購入ください。

■注意事項
・素人採寸なので多少の誤差はご了承ください
・used商品なので神経質な方はご遠慮ください
・ご利用のモニター、デバイスや照明環境などにより実際の商品と色味が多少異なる場合があります。あらかじめご了承ください。
・見落としによる目立たない穴、ほつれ、破れ、汚れ等のダメージがある場合がございますことをご理解の上、ご購入お願い致します。




出品商品は、ブランド直営店、もしくはブランドショップで購入した物で、全て鑑定済の正規品になります。ご安心してお求め下さい！

□ご不明な点等ございましたら、お気軽にご質問ください。

<<他にも多数出品中！ぜひショップページをご覧ください！>>",https://furugijima.shop-pro.jp/?pid=187289511,https://img21.shop-pro.jp/PA01517/605/product/187289511.jpg,"https://img21.shop-pro.jp/PA01517/605/product/187289511_o1.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289511_o2.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289511_o3.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289511_o4.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289511_o5.jpg",in_stock,12000 JPY,used,,no,Apparel & Accessories > Clothing,,,,adult,トップス(メンズ) > Tシャツ(半袖)
187289512,your marine life is Tシャツ ロゴプリント ブラック Lサイズ メンズ 古着 ストリート,"ご覧頂きありがとうございます。
即購入OK！全て早い者勝ちです！

古着島でしか買えない個性的、スペシャルなアイテムが多数出品してあります！




※色やデザイン等は画像をご覧ください。

□コンディションランク：

□コンディション詳細：

□平置きサイズ実寸(cm)
肩幅50.5
身幅51
着丈66
袖丈21

□商品概要・その他
umi your marine life is 千葉ロッテマリーンズ Tシャツ 半袖 ロゴプリント スクリプトロゴ Lサイズ メンズ ストリート スポーツMIX 春服 夏服 秋服 ブラック




【コンディションランクについて】
□各商品の説明に記載されたコンディションのランクに関しては下記をご覧下さい。 

N (新品または未使用に近い)...新品同様の状態。未使用またはごく少ない使用感があり、汚れやダメージがほぼない商品。
A (非常に良好な状態)...わずかな使用感はあるものの、目立つ汚れやダメージはなく、非常に良い状態を保っている商品。
B (良好な状態)...通常の使用感があるが、大きな汚れや目立つダメージはなく、全体的に良好な商品。
C (ややダメージあり)...使用感が明らかで、部分的に目立つ汚れや小さなダメージが見られる商品。
D (目立つダメージや汚れあり)...使用感が強く、目立つ汚れやダメージが見受けられる商品。ファッションアイテムとしての利用は可能。
E (ヴィンテージ感強め、ダメージ多数)...使用感が非常に強く、広範囲に渡る汚れやダメージがある商品。ただし、ヴィンテージならではの魅力があるアイテム。
※上記ランクは当店基準でのランク付けとなります。あくまでも参考としていただき、詳細は画像をご確認の上、ご購入ください。

■注意事項
・素人採寸なので多少の誤差はご了承ください
・used商品なので神経質な方はご遠慮ください
・ご利用のモニター、デバイスや照明環境などにより実際の商品と色味が多少異なる場合があります。あらかじめご了承ください。
・見落としによる目立たない穴、ほつれ、破れ、汚れ等のダメージがある場合がございますことをご理解の上、ご購入お願い致します。




出品商品は、ブランド直営店、もしくはブランドショップで購入した物で、全て鑑定済の正規品になります。ご安心してお求め下さい！

□ご不明な点等ございましたら、お気軽にご質問ください。

<<他にも多数出品中！ぜひショップページをご覧ください！>>",https://furugijima.shop-pro.jp/?pid=187289512,https://img21.shop-pro.jp/PA01517/605/product/187289512.jpg,"https://img21.shop-pro.jp/PA01517/605/product/187289512_o1.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289512_o2.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289512_o3.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289512_o4.jpg",in_stock,4800 JPY,used,,no,Apparel & Accessories > Clothing,,,,adult,トップス(メンズ) > Tシャツ(半袖)
187289514,Albero Aromatico アルベロアロマティコ Tシャツ プリント ホワイト Mサイズ メンズ 古着 モード,"ご覧頂きありがとうございます。
即購入OK！全て早い者勝ちです！

古着島でしか買えない個性的、スペシャルなアイテムが多数出品してあります！




※色やデザイン等は画像をご覧ください。

□コンディションランク：

□コンディション詳細：

□平置きサイズ実寸(cm)
肩幅46
身幅52
着丈61.5
袖丈17.5

□商品概要・その他
Albero Aromatico アルベロアロマティコ Tシャツ 半袖 プリントグラフィックプリント Mサイズ メンズ モード トラッド ストリート 春服 夏服 秋服 ホワイト




【コンディションランクについて】
□各商品の説明に記載されたコンディションのランクに関しては下記をご覧下さい。 

N (新品または未使用に近い)...新品同様の状態。未使用またはごく少ない使用感があり、汚れやダメージがほぼない商品。
A (非常に良好な状態)...わずかな使用感はあるものの、目立つ汚れやダメージはなく、非常に良い状態を保っている商品。
B (良好な状態)...通常の使用感があるが、大きな汚れや目立つダメージはなく、全体的に良好な商品。
C (ややダメージあり)...使用感が明らかで、部分的に目立つ汚れや小さなダメージが見られる商品。
D (目立つダメージや汚れあり)...使用感が強く、目立つ汚れやダメージが見受けられる商品。ファッションアイテムとしての利用は可能。
E (ヴィンテージ感強め、ダメージ多数)...使用感が非常に強く、広範囲に渡る汚れやダメージがある商品。ただし、ヴィンテージならではの魅力があるアイテム。
※上記ランクは当店基準でのランク付けとなります。あくまでも参考としていただき、詳細は画像をご確認の上、ご購入ください。

■注意事項
・素人採寸なので多少の誤差はご了承ください
・used商品なので神経質な方はご遠慮ください
・ご利用のモニター、デバイスや照明環境などにより実際の商品と色味が多少異なる場合があります。あらかじめご了承ください。
・見落としによる目立たない穴、ほつれ、破れ、汚れ等のダメージがある場合がございますことをご理解の上、ご購入お願い致します。




出品商品は、ブランド直営店、もしくはブランドショップで購入した物で、全て鑑定済の正規品になります。ご安心してお求め下さい！

□ご不明な点等ございましたら、お気軽にご質問ください。

<<他にも多数出品中！ぜひショップページをご覧ください！>>",https://furugijima.shop-pro.jp/?pid=187289514,https://img21.shop-pro.jp/PA01517/605/product/187289514.jpg,"https://img21.shop-pro.jp/PA01517/605/product/187289514_o1.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289514_o2.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289514_o3.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289514_o4.jpg",in_stock,3000 JPY,used,,no,Apparel & Accessories > Clothing,,,,adult,トップス(メンズ) > Tシャツ(半袖)
187289525,adidas アディダス Tシャツ プリント ジダンの導き グラフィック レッド メンズ 古着 ストリート スポーツMIX,"ご覧頂きありがとうございます。
即購入OK！全て早い者勝ちです！

古着島でしか買えない個性的、スペシャルなアイテムが多数出品してあります！




※色やデザイン等は画像をご覧ください。

□コンディションランク：

□コンディション詳細：

□平置きサイズ実寸(cm)
肩幅51
身幅55.5
着丈71.5
袖丈20

□商品概要・その他
adidas アディダス Tシャツ 半袖 プリントT ジダンの導き ZIDANE サッカー Lサイズ メンズ スポーツMIX ストリート 春服 夏服 秋服 レッド



【コンディションランクについて】
□各商品の説明に記載されたコンディションのランクに関しては下記をご覧下さい。 

N (新品または未使用に近い)...新品同様の状態。未使用またはごく少ない使用感があり、汚れやダメージがほぼない商品。
A (非常に良好な状態)...わずかな使用感はあるものの、目立つ汚れやダメージはなく、非常に良い状態を保っている商品。
B (良好な状態)...通常の使用感があるが、大きな汚れや目立つダメージはなく、全体的に良好な商品。
C (ややダメージあり)...使用感が明らかで、部分的に目立つ汚れや小さなダメージが見られる商品。
D (目立つダメージや汚れあり)...使用感が強く、目立つ汚れやダメージが見受けられる商品。ファッションアイテムとしての利用は可能。
E (ヴィンテージ感強め、ダメージ多数)...使用感が非常に強く、広範囲に渡る汚れやダメージがある商品。ただし、ヴィンテージならではの魅力があるアイテム。
※上記ランクは当店基準でのランク付けとなります。あくまでも参考としていただき、詳細は画像をご確認の上、ご購入ください。

■注意事項
・素人採寸なので多少の誤差はご了承ください
・used商品なので神経質な方はご遠慮ください
・ご利用のモニター、デバイスや照明環境などにより実際の商品と色味が多少異なる場合があります。あらかじめご了承ください。
・見落としによる目立たない穴、ほつれ、破れ、汚れ等のダメージがある場合がございますことをご理解の上、ご購入お願い致します。




出品商品は、ブランド直営店、もしくはブランドショップで購入した物で、全て鑑定済の正規品になります。ご安心してお求め下さい！

□ご不明な点等ございましたら、お気軽にご質問ください。

<<他にも多数出品中！ぜひショップページをご覧ください！>>",https://furugijima.shop-pro.jp/?pid=187289525,https://img21.shop-pro.jp/PA01517/605/product/187289525.jpg,"https://img21.shop-pro.jp/PA01517/605/product/187289525_o1.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289525_o2.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289525_o3.jpg",in_stock,6800 JPY,used,,no,Apparel & Accessories > Clothing,,,,adult,トップス(メンズ) > Tシャツ(半袖)
187289532,90s HABITAT ハビタット Tシャツ アニマルプリント グレー XLサイズ メンズ 古着 ストリート,"ご覧頂きありがとうございます。
即購入OK！全て早い者勝ちです！

古着島でしか買えない個性的、スペシャルなアイテムが多数出品してあります！




※色やデザイン等は画像をご覧ください。

□コンディションランク：

□コンディション詳細：

□平置きサイズ実寸(cm)
肩幅50.5
身幅54.5
着丈70
袖丈19.5

□商品概要・その他
90s HABITAT ハビタット Tシャツ アニマルプリント 動物 虎 ライオン 豹 グレー XLサイズ メンズ 古着 ストリート 春服 夏服 秋服



【コンディションランクについて】
□各商品の説明に記載されたコンディションのランクに関しては下記をご覧下さい。 

N (新品または未使用に近い)...新品同様の状態。未使用またはごく少ない使用感があり、汚れやダメージがほぼない商品。
A (非常に良好な状態)...わずかな使用感はあるものの、目立つ汚れやダメージはなく、非常に良い状態を保っている商品。
B (良好な状態)...通常の使用感があるが、大きな汚れや目立つダメージはなく、全体的に良好な商品。
C (ややダメージあり)...使用感が明らかで、部分的に目立つ汚れや小さなダメージが見られる商品。
D (目立つダメージや汚れあり)...使用感が強く、目立つ汚れやダメージが見受けられる商品。ファッションアイテムとしての利用は可能。
E (ヴィンテージ感強め、ダメージ多数)...使用感が非常に強く、広範囲に渡る汚れやダメージがある商品。ただし、ヴィンテージならではの魅力があるアイテム。
※上記ランクは当店基準でのランク付けとなります。あくまでも参考としていただき、詳細は画像をご確認の上、ご購入ください。

■注意事項
・素人採寸なので多少の誤差はご了承ください
・used商品なので神経質な方はご遠慮ください
・ご利用のモニター、デバイスや照明環境などにより実際の商品と色味が多少異なる場合があります。あらかじめご了承ください。
・見落としによる目立たない穴、ほつれ、破れ、汚れ等のダメージがある場合がございますことをご理解の上、ご購入お願い致します。




出品商品は、ブランド直営店、もしくはブランドショップで購入した物で、全て鑑定済の正規品になります。ご安心してお求め下さい！

□ご不明な点等ございましたら、お気軽にご質問ください。

<<他にも多数出品中！ぜひショップページをご覧ください！>>",https://furugijima.shop-pro.jp/?pid=187289532,https://img21.shop-pro.jp/PA01517/605/product/187289532.jpg,"https://img21.shop-pro.jp/PA01517/605/product/187289532_o1.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289532_o2.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289532_o3.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289532_o4.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289532_o5.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289532_o6.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289532_o7.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289532_o8.jpg",in_stock,6800 JPY,used,,no,Apparel & Accessories > Clothing,,,,adult,トップス(メンズ) > Tシャツ(半袖)
187289533,Tシャツ プリント グラフィックT ヨセミテ国立公園 グレー Lサイズ メンズ 古着 ストリート アメカジ,"ご覧頂きありがとうございます。
即購入OK！全て早い者勝ちです！

古着島でしか買えない個性的、スペシャルなアイテムが多数出品してあります！




※色やデザイン等は画像をご覧ください。

□コンディションランク：

□コンディション詳細：

□平置きサイズ実寸(cm)
肩幅51.5
身幅53.5
着丈78
袖丈19

□商品概要・その他
Tシャツ プリント グラフィックT ヨセミテ国立公園 YOSEMITE スーベニアT グレー Lサイズ メンズ 古着 ストリート アメカジ 春服 夏服 秋服



【コンディションランクについて】
□各商品の説明に記載されたコンディションのランクに関しては下記をご覧下さい。 

N (新品または未使用に近い)...新品同様の状態。未使用またはごく少ない使用感があり、汚れやダメージがほぼない商品。
A (非常に良好な状態)...わずかな使用感はあるものの、目立つ汚れやダメージはなく、非常に良い状態を保っている商品。
B (良好な状態)...通常の使用感があるが、大きな汚れや目立つダメージはなく、全体的に良好な商品。
C (ややダメージあり)...使用感が明らかで、部分的に目立つ汚れや小さなダメージが見られる商品。
D (目立つダメージや汚れあり)...使用感が強く、目立つ汚れやダメージが見受けられる商品。ファッションアイテムとしての利用は可能。
E (ヴィンテージ感強め、ダメージ多数)...使用感が非常に強く、広範囲に渡る汚れやダメージがある商品。ただし、ヴィンテージならではの魅力があるアイテム。
※上記ランクは当店基準でのランク付けとなります。あくまでも参考としていただき、詳細は画像をご確認の上、ご購入ください。

■注意事項
・素人採寸なので多少の誤差はご了承ください
・used商品なので神経質な方はご遠慮ください
・ご利用のモニター、デバイスや照明環境などにより実際の商品と色味が多少異なる場合があります。あらかじめご了承ください。
・見落としによる目立たない穴、ほつれ、破れ、汚れ等のダメージがある場合がございますことをご理解の上、ご購入お願い致します。




出品商品は、ブランド直営店、もしくはブランドショップで購入した物で、全て鑑定済の正規品になります。ご安心してお求め下さい！

□ご不明な点等ございましたら、お気軽にご質問ください。

<<他にも多数出品中！ぜひショップページをご覧ください！>>",https://furugijima.shop-pro.jp/?pid=187289533,https://img21.shop-pro.jp/PA01517/605/product/187289533.jpg,"https://img21.shop-pro.jp/PA01517/605/product/187289533_o1.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289533_o2.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289533_o3.jpg",in_stock,6800 JPY,used,,no,Apparel & Accessories > Clothing,,,,adult,トップス(メンズ) > Tシャツ(半袖)
187289535,Tシャツ プリント バイクT モーターサイクル ブラック Lサイズ メンズ 古着 ストリート アメカジ オーバーサイズ,"ご覧頂きありがとうございます。
即購入OK！全て早い者勝ちです！

古着島でしか買えない個性的、スペシャルなアイテムが多数出品してあります！




※色やデザイン等は画像をご覧ください。

□コンディションランク：

□コンディション詳細：

□平置きサイズ実寸(cm)
肩幅53
身幅57.5
着丈64.5
袖丈17

□商品概要・その他
Tシャツ プリント バイクT モーターサイクル バイカー ブラック Lサイズ メンズ 古着 ストリート アメカジ オーバーサイズ 春服 夏服 秋服



【コンディションランクについて】
□各商品の説明に記載されたコンディションのランクに関しては下記をご覧下さい。 

N (新品または未使用に近い)...新品同様の状態。未使用またはごく少ない使用感があり、汚れやダメージがほぼない商品。
A (非常に良好な状態)...わずかな使用感はあるものの、目立つ汚れやダメージはなく、非常に良い状態を保っている商品。
B (良好な状態)...通常の使用感があるが、大きな汚れや目立つダメージはなく、全体的に良好な商品。
C (ややダメージあり)...使用感が明らかで、部分的に目立つ汚れや小さなダメージが見られる商品。
D (目立つダメージや汚れあり)...使用感が強く、目立つ汚れやダメージが見受けられる商品。ファッションアイテムとしての利用は可能。
E (ヴィンテージ感強め、ダメージ多数)...使用感が非常に強く、広範囲に渡る汚れやダメージがある商品。ただし、ヴィンテージならではの魅力があるアイテム。
※上記ランクは当店基準でのランク付けとなります。あくまでも参考としていただき、詳細は画像をご確認の上、ご購入ください。

■注意事項
・素人採寸なので多少の誤差はご了承ください
・used商品なので神経質な方はご遠慮ください
・ご利用のモニター、デバイスや照明環境などにより実際の商品と色味が多少異なる場合があります。あらかじめご了承ください。
・見落としによる目立たない穴、ほつれ、破れ、汚れ等のダメージがある場合がございますことをご理解の上、ご購入お願い致します。




出品商品は、ブランド直営店、もしくはブランドショップで購入した物で、全て鑑定済の正規品になります。ご安心してお求め下さい！

□ご不明な点等ございましたら、お気軽にご質問ください。

<<他にも多数出品中！ぜひショップページをご覧ください！>>",https://furugijima.shop-pro.jp/?pid=187289535,https://img21.shop-pro.jp/PA01517/605/product/187289535.jpg,"https://img21.shop-pro.jp/PA01517/605/product/187289535_o1.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289535_o2.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289535_o3.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289535_o4.jpg",in_stock,6800 JPY,used,,no,Apparel & Accessories > Clothing,,,,adult,トップス(メンズ) > Tシャツ(半袖)
187289539,Roots ルーツ Tシャツ プリントロゴ ブラック XLサイズ メンズ 古着 ストリート オーバーサイズ ゆるダボ,"ご覧頂きありがとうございます。
即購入OK！全て早い者勝ちです！

古着島でしか買えない個性的、スペシャルなアイテムが多数出品してあります！




※色やデザイン等は画像をご覧ください。

□コンディションランク：

□コンディション詳細：

□平置きサイズ実寸(cm)
肩幅59.5
身幅60
着丈75
袖丈23.5

□商品概要・その他
Roots ルーツ Tシャツ プリントロゴ ブラック XLサイズ メンズ 古着 ストリート オーバーサイズ ゆるダボ 春服 夏服 秋服 カナダ製



【コンディションランクについて】
□各商品の説明に記載されたコンディションのランクに関しては下記をご覧下さい。 

N (新品または未使用に近い)...新品同様の状態。未使用またはごく少ない使用感があり、汚れやダメージがほぼない商品。
A (非常に良好な状態)...わずかな使用感はあるものの、目立つ汚れやダメージはなく、非常に良い状態を保っている商品。
B (良好な状態)...通常の使用感があるが、大きな汚れや目立つダメージはなく、全体的に良好な商品。
C (ややダメージあり)...使用感が明らかで、部分的に目立つ汚れや小さなダメージが見られる商品。
D (目立つダメージや汚れあり)...使用感が強く、目立つ汚れやダメージが見受けられる商品。ファッションアイテムとしての利用は可能。
E (ヴィンテージ感強め、ダメージ多数)...使用感が非常に強く、広範囲に渡る汚れやダメージがある商品。ただし、ヴィンテージならではの魅力があるアイテム。
※上記ランクは当店基準でのランク付けとなります。あくまでも参考としていただき、詳細は画像をご確認の上、ご購入ください。

■注意事項
・素人採寸なので多少の誤差はご了承ください
・used商品なので神経質な方はご遠慮ください
・ご利用のモニター、デバイスや照明環境などにより実際の商品と色味が多少異なる場合があります。あらかじめご了承ください。
・見落としによる目立たない穴、ほつれ、破れ、汚れ等のダメージがある場合がございますことをご理解の上、ご購入お願い致します。




出品商品は、ブランド直営店、もしくはブランドショップで購入した物で、全て鑑定済の正規品になります。ご安心してお求め下さい！

□ご不明な点等ございましたら、お気軽にご質問ください。

<<他にも多数出品中！ぜひショップページをご覧ください！>>",https://furugijima.shop-pro.jp/?pid=187289539,https://img21.shop-pro.jp/PA01517/605/product/187289539.jpg,"https://img21.shop-pro.jp/PA01517/605/product/187289539_o1.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289539_o2.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289539_o3.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289539_o4.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289539_o5.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289539_o6.jpg",out_of_stock,5000 JPY,used,,no,Apparel & Accessories > Clothing,,,,adult,トップス(メンズ) > Tシャツ(半袖)
187289540,Tシャツ プリント ハワイ グラフィック フェード チャコールグレー Mサイズ メンズ 古着 ストリート アメカジ,"ご覧頂きありがとうございます。
即購入OK！全て早い者勝ちです！

古着島でしか買えない個性的、スペシャルなアイテムが多数出品してあります！




※色やデザイン等は画像をご覧ください。

□コンディションランク：

□コンディション詳細：

□平置きサイズ実寸(cm)
肩幅50
身幅48
着丈68.5
袖丈18

□商品概要・その他
Tシャツ プリント ハワイ グラフィック シャカサイン スーベニアT フェード チャコールグレー Mサイズ メンズ 古着 ストリート アメカジ 春服 夏服 秋服



【コンディションランクについて】
□各商品の説明に記載されたコンディションのランクに関しては下記をご覧下さい。 

N (新品または未使用に近い)...新品同様の状態。未使用またはごく少ない使用感があり、汚れやダメージがほぼない商品。
A (非常に良好な状態)...わずかな使用感はあるものの、目立つ汚れやダメージはなく、非常に良い状態を保っている商品。
B (良好な状態)...通常の使用感があるが、大きな汚れや目立つダメージはなく、全体的に良好な商品。
C (ややダメージあり)...使用感が明らかで、部分的に目立つ汚れや小さなダメージが見られる商品。
D (目立つダメージや汚れあり)...使用感が強く、目立つ汚れやダメージが見受けられる商品。ファッションアイテムとしての利用は可能。
E (ヴィンテージ感強め、ダメージ多数)...使用感が非常に強く、広範囲に渡る汚れやダメージがある商品。ただし、ヴィンテージならではの魅力があるアイテム。
※上記ランクは当店基準でのランク付けとなります。あくまでも参考としていただき、詳細は画像をご確認の上、ご購入ください。

■注意事項
・素人採寸なので多少の誤差はご了承ください
・used商品なので神経質な方はご遠慮ください
・ご利用のモニター、デバイスや照明環境などにより実際の商品と色味が多少異なる場合があります。あらかじめご了承ください。
・見落としによる目立たない穴、ほつれ、破れ、汚れ等のダメージがある場合がございますことをご理解の上、ご購入お願い致します。




出品商品は、ブランド直営店、もしくはブランドショップで購入した物で、全て鑑定済の正規品になります。ご安心してお求め下さい！

□ご不明な点等ございましたら、お気軽にご質問ください。

<<他にも多数出品中！ぜひショップページをご覧ください！>>",https://furugijima.shop-pro.jp/?pid=187289540,https://img21.shop-pro.jp/PA01517/605/product/187289540.jpg,"https://img21.shop-pro.jp/PA01517/605/product/187289540_o1.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289540_o2.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289540_o3.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289540_o4.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289540_o5.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289540_o6.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289540_o7.jpg",in_stock,8000 JPY,used,,no,Apparel & Accessories > Clothing,,,,adult,トップス(メンズ) > Tシャツ(半袖)
187289542,DIESEL ディーゼル Tシャツ グラフィックプリント 20世紀 ホワイト Sサイズ メンズ 古着 ストリート,"ご覧頂きありがとうございます。
即購入OK！全て早い者勝ちです！

古着島でしか買えない個性的、スペシャルなアイテムが多数出品してあります！




※色やデザイン等は画像をご覧ください。

□コンディションランク：

□コンディション詳細：

□平置きサイズ実寸(cm)
肩幅41.5
身幅46
着丈68
袖丈17

□商品概要・その他
DIESEL ディーゼル Tシャツ グラフィックプリント 20世紀 イーグル 鷲 ホワイト Sサイズ メンズ 古着 ストリート 春服 夏服 秋服



【コンディションランクについて】
□各商品の説明に記載されたコンディションのランクに関しては下記をご覧下さい。 

N (新品または未使用に近い)...新品同様の状態。未使用またはごく少ない使用感があり、汚れやダメージがほぼない商品。
A (非常に良好な状態)...わずかな使用感はあるものの、目立つ汚れやダメージはなく、非常に良い状態を保っている商品。
B (良好な状態)...通常の使用感があるが、大きな汚れや目立つダメージはなく、全体的に良好な商品。
C (ややダメージあり)...使用感が明らかで、部分的に目立つ汚れや小さなダメージが見られる商品。
D (目立つダメージや汚れあり)...使用感が強く、目立つ汚れやダメージが見受けられる商品。ファッションアイテムとしての利用は可能。
E (ヴィンテージ感強め、ダメージ多数)...使用感が非常に強く、広範囲に渡る汚れやダメージがある商品。ただし、ヴィンテージならではの魅力があるアイテム。
※上記ランクは当店基準でのランク付けとなります。あくまでも参考としていただき、詳細は画像をご確認の上、ご購入ください。

■注意事項
・素人採寸なので多少の誤差はご了承ください
・used商品なので神経質な方はご遠慮ください
・ご利用のモニター、デバイスや照明環境などにより実際の商品と色味が多少異なる場合があります。あらかじめご了承ください。
・見落としによる目立たない穴、ほつれ、破れ、汚れ等のダメージがある場合がございますことをご理解の上、ご購入お願い致します。




出品商品は、ブランド直営店、もしくはブランドショップで購入した物で、全て鑑定済の正規品になります。ご安心してお求め下さい！

□ご不明な点等ございましたら、お気軽にご質問ください。

<<他にも多数出品中！ぜひショップページをご覧ください！>>",https://furugijima.shop-pro.jp/?pid=187289542,https://img21.shop-pro.jp/PA01517/605/product/187289542.jpg,"https://img21.shop-pro.jp/PA01517/605/product/187289542_o1.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289542_o2.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289542_o3.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289542_o4.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289542_o5.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289542_o6.jpg,https://img21.shop-pro.jp/PA01517/605/product/187289542_o7.jpg",in_stock,6800 JPY,used,,no,Apparel & Accessories > Clothing,,,,adult,トップス(メンズ) > Tシャツ(半袖)
